Livestock,AB,BC,MB,NB,NL,NS,ON,PE,QC,SK
Dairy Cattle,0.014734429,0.020786794,0.005838691,0.003188832,0.001811886,0.004490275,0.112115814,0.001630494,0.169640665,0.002153695
Beef Cattle,0.002532903,0.003136207,0.000973763,0.000939223,0.000373558,0.001074175,0.02636667,0.000381928,0.047125754,0.000274082
Buffalo,0,0,0,0,0,0,1.05832E-05,0,3.84022E-05,0
Sheep and Lamb,0,0.00E+00,0,0.00E+00,0.00E+00,3.2038E-06,0,0.00E+00,0,0
Goats,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0,0.00E+00
Camels and Llamas,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.57E-07,0,0.00E+00,0,0.00E+00
Horses,0,0,0,0.00E+00,0.00E+00,0,0,0.00E+00,0,0
Mules and Asses,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0,0,0.00E+00,0.00E+00,0.00E+00
Swine,0.021432504,0.001007611,0.054958765,4.43E-04,4.53E-05,0.00063094,0.110817596,0.000541922,0.199349089,0.007230713
Poultry,0.001634787,8.87484E-05,0.002324411,0.000115717,6.45492E-05,0.00039865,0.000346391,0,0.005475157,4.03879E-05
Deer,0.00E+00,0.00E+00,0.00E+00,0,0,0,0.00E+00,0,0,0.00E+00
Elk,0.00E+00,0.00E+00,0.00E+00,0,0,0,0.00E+00,0,0,0.00E+00
Wild boars,0.00E+00,0.00E+00,0.00E+00,0,0,0,0.00E+00,0,0.00E+00,0.00E+00
Rabbit,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0,0.00E+00
Mink,0,0,0.00E+00,0.00E+00,0,0,0,0.00E+00,0,0
Fox,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
