Livestock,AB,BC,MB,NB,NL,NS,ON,PE,QC,SK
Dairy Cattle,0.002440742,0.000989548,0.000865393,0.000923195,0.00026711,0.000726163,0.043948001,0.001135896,0.029450585,0.000660362
Beef Cattle,0.152625588,0.012772759,0.017981191,0.001791881,0.000226445,0.001941878,0.104560455,0.002046776,0.050094586,0.046511528
Buffalo,0.001756561,0.000193337,0.000449327,0,0,0,0.000225774,0,0.000153609,0.000972843
Sheep and Lamb,0,8.08E-05,0.000214016,2.52E-05,7.32E-06,0.000118832,0.001759611,4.20E-05,0.00222319,0.000174576
Goats,0.000126768,0.000112253,4.32E-05,1.02E-05,8.71E-07,2.37E-05,0.002282382,2.68E-06,0.001646551,5.24E-05
Camels and Llamas,0,1.87E-05,1.01E-05,2.09E-06,3.96E-07,5.81E-06,0.000144028,3.57E-06,0.000120742,2.13E-05
Horses,0.001003651,0.002419445,0.000760617,8.45E-05,6.88E-06,0.000143743,0.005338713,7.41E-05,0.002628601,0.000848297
Mules and Asses,1.21E-05,2.40E-05,1.62E-05,0,7.64E-08,0,0.000105327,1.09E-06,3.43E-05,1.18E-05
Swine,0.002171318,0.000178489,0.001501593,7.68E-05,2.00E-05,0.000221414,0.001458249,0.000120736,0.003003419,0.000619338
Poultry,0.005005973,0.013223703,0.00541338,0.001492324,0.00080407,0.002564697,0.065594809,0.000284488,0.055720361,0.001272481
Deer,7.46E-06,3.11E-06,7.16E-07,0,0,0,6.33E-05,0,0.000222627,9.38E-06
Elk,7.46E-06,3.11E-06,7.16E-07,0,0,0,6.33E-05,0,0.000222627,9.38E-06
Wild boars,6.63E-06,2.84E-06,8.65E-06,0,0,0,1.72E-05,0,6.30E-05,1.52E-05
Rabbit,3.96E-06,6.06E-06,2.56E-06,1.03E-06,2.04E-08,7.43E-07,0.000186761,2.02E-07,0.000180718,6.87E-07
Mink,0,0.000482566,6.79E-05,2.91E-05,0.000238764,0.000644802,0.000941418,9.95E-05,0.000134987,0
Fox,0,0,0,5.28E-06,8.78E-06,2.67E-06,5.02E-06,6.15E-06,4.87E-06,0
