,ID,Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
,1,"VanderZaag, A.C., Glenn, A., Balde, H.",25723924700;15121940000;55542124400;,Manure methane emissions over three years at a swine farm in western Canada,2022,Journal of Environmental Quality,51,3,,301,311,,2,10.1002/jeq2.20336,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126058174&doi=10.1002%2fjeq2.20336&partnerID=40&md5=1d8fb50afc960beb7b1fcc6b1e789777,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85126058174
,2,"Romero, C.M., Redman, A.-A.P.H., Owens, J., Terry, S.A., Ribeiro, G.O., Gorzelak, M.A., Oldenburg, T.B.P., Hazendonk, P., Larney, F.J., Hao, X., Okine, E., McAllister, T.A.",56556015900;57215721568;57193350505;57117413400;57215723503;56117885400;8105966200;6602589794;7004265800;7202000550;7006484930;7102068695;,"Effects of feeding a pine-based biochar to beef cattle on subsequent manure nutrients, organic matter composition and greenhouse gas emissions",2022,Science of the Total Environment,812,,152267,,,,4,10.1016/j.scitotenv.2021.152267,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121842808&doi=10.1016%2fj.scitotenv.2021.152267&partnerID=40&md5=d945f4a8c43985ead92b0142db6b918b,Article,Final,,Scopus,2-s2.0-85121842808
,3,"Turner, I., Heidari, D., Pelletier, N.",57212928089;57259365100;57210215665;,Life cycle assessment of contemporary Canadian egg production systems during the transition from conventional cage to alternative housing systems: Update and analysis of trends and conditions,2022,"Resources, Conservation and Recycling",176,,105907,,,,5,10.1016/j.resconrec.2021.105907,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114936521&doi=10.1016%2fj.resconrec.2021.105907&partnerID=40&md5=873376e3053c16899d7a06e8fd5dbd70,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85114936521
,4,"Gong, X., Li, J., Chang, S.X., Wu, Q., An, Z., Huang, C., Sun, X., Li, S., Wang, H.",55437493500;57189701560;7405608250;57204352533;57189521311;57211052469;8962794300;37036287300;55233528600;,Cattle manure biochar and earthworm interactively affected CO2 and N2O emissions in agricultural and forest soils: Observation of a distinct difference,2022,Frontiers of Environmental Science and Engineering,16,3,39,,,,2,10.1007/s11783-021-1473-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110449455&doi=10.1007%2fs11783-021-1473-8&partnerID=40&md5=d535fb4f5ba811bb74fcf23301c46132,Article,Final,,Scopus,2-s2.0-85110449455
,5,"Mahato, P., Rajagopal, R., Goyette, B., Adhikary S.",,Low-temperature anaerobic digestion of chicken manure at high organic and nitrogen loads - strategies for controlling short chain fatty acids,2022,Bioresouce Technology,351,,,,,,,10.1016/j.biortech.2022.127049,,,,,,
,6,"Wedwitschka, H., Hayes, A., Ibanez, D.G., Jenson, E., Liebetrau, J., Nelles, M., Stinner, W.",55616325200;36016494800;57195576513;57132808600;36679001700;55406880400;56972101500;,Material characterization and conditioning of cattle feedlot manure as feedstock for dry batch anaerobic digestion,2022,Waste Management,138,,,210,218,,1,10.1016/j.wasman.2021.11.047,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120889460&doi=10.1016%2fj.wasman.2021.11.047&partnerID=40&md5=7d4667bcbba43f0146065860787f2a67,Article,Final,,Scopus,2-s2.0-85120889460
,7,"Abbasi, N.A., Hamrani, A., Madramootoo, C.A., Zhang, T., Tan, C.S., Goyal, M.K.",56373330700;57140705000;7005854414;7404373735;7402818349;23004282800;,Modelling carbon dioxide emissions under a maize-soy rotation using machine learning,2021,Biosystems Engineering,212,,,1,18,,13,10.1016/j.biosystemseng.2021.09.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117194917&doi=10.1016%2fj.biosystemseng.2021.09.013&partnerID=40&md5=4229c0f203f601ba32aefe8458993ed6,Article,Final,,Scopus,2-s2.0-85117194917
,8,"Benchaar, C., Hassanat, F., Beauchemin, K.A., Gislon, G., Ouellet, D.R.",6602579949;8310982300;7006478754;57201902986;57206523186;,"Diet supplementation with canola meal improves milk production, reduces enteric methane emissions, and shifts nitrogen excretion from urine to feces in dairy cows",2021,Journal of Dairy Science,104,9,,9645,9663,,1,10.3168/jds.2020-20053,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108813151&doi=10.3168%2fjds.2020-20053&partnerID=40&md5=7e96ef7842b3abf227d4bdb85c6de64d,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85108813151
,9,"Benchaar, C., Hassanat, F.",6602579949;8310982300;,"Method of diet delivery to dairy cows: Effects on nutrient digestion, rumen fermentation, methane emissions from enteric fermentation and stored manure, nitrogen excretion, and milk production",2021,Journal of Dairy Science,104,11,,11686,11698,,,10.3168/jds.2021-20466,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112539701&doi=10.3168%2fjds.2021-20466&partnerID=40&md5=29555c13e6bb8bf982b277ef04cd9f86,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85112539701
,10,"Holtshausen, L., Benchaar, C., Kröbel, R., Beauchemin, K.A.",6506956686;6602579949;35113464800;7006478754;,Canola meal versus soybean meal as protein supplements in the diets of lactating dairy cows affects the greenhouse gas intensity of milk,2021,Animals,11,6,1636,,,,1,10.3390/ani11061636,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106697635&doi=10.3390%2fani11061636&partnerID=40&md5=2b0a2c22f3fb3c3dade6ef5470003f0a,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85106697635
,11,"Hung, C.-Y., Whalen, J.K.",55946364600;7102836237;,"Plausible impacts of fall manuring on cover crop production and spring nitrous oxide emissions under climate change in southern Quebec, Canada",2021,"Agriculture, Ecosystems and Environment",321,,107620,,,,,10.1016/j.agee.2021.107620,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113141221&doi=10.1016%2fj.agee.2021.107620&partnerID=40&md5=a735d1b56c0dc9d620e3a2de5c74a80d,Article,Final,,Scopus,2-s2.0-85113141221
,12,"Hung, C.-Y., Ejack, L., Whalen, J.K.",55946364600;57219376823;7102836237;,Fall-applied manure with cover crop did not increase nitrous oxide emissions during spring freeze-thaw periods,2021,Applied Soil Ecology,158,,103786,,,,9,10.1016/j.apsoil.2020.103786,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092469644&doi=10.1016%2fj.apsoil.2020.103786&partnerID=40&md5=c4010808c7f12048a10c186bb7673388,Article,Final,,Scopus,2-s2.0-85092469644
,13,"Pokharel, P., Chang, S.X.",57188747125;7405608250;,Biochar decreases the efficacy of the nitrification inhibitor nitrapyrin in mitigating nitrous oxide emissions at different soil moisture levels,2021,Journal of Environmental Management,295,,113080,,,,11,10.1016/j.jenvman.2021.113080,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109476447&doi=10.1016%2fj.jenvman.2021.113080&partnerID=40&md5=dbe81ea78dd1729947d28d9dfd210d7b,Article,Final,,Scopus,2-s2.0-85109476447
,14,"Pokharel, P., Qi, L., Chang, S.X.",57188747125;57203199000;7405608250;,Manure-based biochar decreases heterotrophic respiration and increases gross nitrification rates in rhizosphere soil,2021,Soil Biology and Biochemistry,154,,108147,,,,11,10.1016/j.soilbio.2021.108147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100051689&doi=10.1016%2fj.soilbio.2021.108147&partnerID=40&md5=b0317f43275ad7837fc9427687f941fd,Article,Final,,Scopus,2-s2.0-85100051689
,15,"Adghim, M., Sartaj, M., Abdehagh, N.",57202962466;6508389302;55788167900;,Enhancing Mono- and Co-digestion of Poultry Manure by a Novel Post-hydrolysis Ammonia Stripping Approach in a Two-Stage Anaerobic Digestion Process,2021,Waste and Biomass Valorization,12,11,,6045,6056,,5,10.1007/s12649-021-01439-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105341164&doi=10.1007%2fs12649-021-01439-5&partnerID=40&md5=7ea1ab873adacf08e88762e7c8c07705,Article,Final,,Scopus,2-s2.0-85105341164
,16,"Arias, D.E., Veluchamy, C., Habash, M.B., Gilroyed, B.H.",57215685068;57192834673;6505891130;24490771900;,"Biogas production, waste stabilization efficiency, and hygienization potential of a mesophilic anaerobic plug flow reactor processing swine manure and corn stover",2021,Journal of Environmental Management,284,,112027,,,,13,10.1016/j.jenvman.2021.112027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100025157&doi=10.1016%2fj.jenvman.2021.112027&partnerID=40&md5=b403c31b5ee0f734e8a8fd2c4eca5981,Article,Final,,Scopus,2-s2.0-85100025157
,17,"Sokolov, V., Habtewold, J., VanderZaag, A., Dunfield, K., Gregorich, E., Wagner-Riddle, C., Venkiteswaran, J.J., Gordon, R.",57195545151;57201269740;25723924700;6505851121;7004740684;6701603287;6507911199;56653882200;,Response Curves for Ammonia and Methane Emissions From Stored Liquid Manure Receiving Low Rates of Sulfuric Acid,2021,Frontiers in Sustainable Food Systems,5,,678992,,,,1,10.3389/fsufs.2021.678992,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111033224&doi=10.3389%2ffsufs.2021.678992&partnerID=40&md5=14f2a6fc0f37eaffc0fbe6105eb66e57,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85111033224
,18,"Ejack, L., Whalen, J.K.",57219376823;7102836237;,Freeze-thaw cycles release nitrous oxide produced in frozen agricultural soils,2021,Biology and Fertility of Soils,57,3,,389,398,,8,10.1007/s00374-020-01537-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099091546&doi=10.1007%2fs00374-020-01537-x&partnerID=40&md5=a0d85a6ce380dfce4d1da9939850275e,Article,Final,,Scopus,2-s2.0-85099091546
,19,"ROMERO, C.M., LI, C., OWENS, J., RIBEIRO, G.O., MCALLISTER, T.A., OKINE, E., HAO, X.",56556015900;54789061000;57193350505;57215723503;7102068695;7006484930;7202000550;,Nutrient cycling and greenhouse gas emissions from soil amended with biochar-manure mixtures,2021,Pedosphere,31,2,,289,302,,18,10.1016/S1002-0160(20)60071-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096528351&doi=10.1016%2fS1002-0160%2820%2960071-6&partnerID=40&md5=2aa45442f72ce87d9b32682cbf4a7336,Article,Final,,Scopus,2-s2.0-85096528351
,20,"Adelekun, M., Akinremi, O., Nikièma, P., Sparling, B., Tenuta, M.",57212173693;6603763345;24332538100;54789282800;6603063269;,Nitrous oxide fluxes from liquid pig manure and urea fertilizer applied to annual crops,2021,"Agriculture, Ecosystems and Environment",313,,107393,,,,1,10.1016/j.agee.2021.107393,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102861387&doi=10.1016%2fj.agee.2021.107393&partnerID=40&md5=a5d503f9f6fc6f96970cac3486d0a1ed,Article,Final,,Scopus,2-s2.0-85102861387
,21,"Lin, S., Mezbahuddin, S., Grant, R., Hernandez-Ramirez, G.",57200273603;57216821332;7402006329;26030319400;,How could simulated dewatering of slurry mitigate nitrous oxide emissions from fall and spring injections? – A modelling study in a Chernozem soil in Western Canada,2021,Science of the Total Environment,796,,148758,,,,,10.1016/j.scitotenv.2021.148758,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110429370&doi=10.1016%2fj.scitotenv.2021.148758&partnerID=40&md5=d906bbf037b883c656225e16662c2f02,Article,Final,,Scopus,2-s2.0-85110429370
,22,"Lin, S., Hernandez-Ramirez, G.",57200273603;26030319400;,Nitrogen turnover and n2o production in incubated soils after receiving field applications of liquid manure and nitrification inhibitors,2021,Canadian Journal of Soil Science,101,2,,290,304,,5,10.1139/cjss-2020-0102,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101006124&doi=10.1139%2fcjss-2020-0102&partnerID=40&md5=7886bc8c802508f96cd69d3a79ec6787,Article,Final,,Scopus,2-s2.0-85101006124
,23,"Sokolov, V.K., VanderZaag, A., Habtewold, J., Dunfield, K., Wagner-Riddle, C., Venkiteswaran, J.J., Crolla, A., Gordon, R.",57195545151;25723924700;57201269740;6505851121;6701603287;6507911199;8657914400;56653882200;,Dairy manure acidification reduces CH4 emissions over short and long-term,2021,Environmental Technology (United Kingdom),42,18,,2797,2804,,11,10.1080/09593330.2020.1714744,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078404405&doi=10.1080%2f09593330.2020.1714744&partnerID=40&md5=434a17c851f32c811bdb889111376a8b,Article,Final,,Scopus,2-s2.0-85078404405
,24,"Pelster, D.E., Chantigny, M.H., Royer, I., Angers, D.A., Vanasse, A.",35119494200;6603601520;57204379504;56229128600;24832260300;,"Reduced tillage increased growing season N2O emissions from a fine but not a coarse textured soil under the cool, humid climate of eastern Canada",2021,Soil and Tillage Research,206,,104833,,,,10,10.1016/j.still.2020.104833,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093661140&doi=10.1016%2fj.still.2020.104833&partnerID=40&md5=2ca28ccc36e30f15977de85859e5b2ee,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85093661140
,25,"Rennie, T.J., Grant, B.B., Gordon, R.J., Smith, W.N., VanderZaag, A.C.",6603764556;8503817300;56653882200;56328807300;25723924700;,Regional climate influences manure temperature and methane emissions – A pan-Canadian modelling assessment,2021,Science of the Total Environment,750,,142278,,,,4,10.1016/j.scitotenv.2020.142278,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091235101&doi=10.1016%2fj.scitotenv.2020.142278&partnerID=40&md5=7f13d683bada062c813ef754cb2df9cc,Article,Final,,Scopus,2-s2.0-85091235101
,26,"Lin, S., Hernandez-Ramirez, G.",57200273603;26030319400;,Nitrous oxide emissions from manured soils as a function of various nitrification inhibitor rates and soil moisture contents,2020,Science of the Total Environment,738,,139669,,,,42,10.1016/j.scitotenv.2020.139669,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086067802&doi=10.1016%2fj.scitotenv.2020.139669&partnerID=40&md5=3f26327ed50284d0810e854c70766a0d,Article,Final,,Scopus,2-s2.0-85086067802
,27,"Zhang, S., Wang, H., Bi, X., Clift, R.",55878651500;57214096936;57218274528;7101769541;,Synthesis and assessment of a biogas-centred agricultural eco-industrial park in British Columbia,2021,Journal of Cleaner Production,321,,128767,,,,3,10.1016/j.jclepro.2021.128767,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114778784&doi=10.1016%2fj.jclepro.2021.128767&partnerID=40&md5=8685b5aa4ce29960212a3832b00d1829,Article,Final,,Scopus,2-s2.0-85114778784
,28,"Binggeli, S., Lapierre, H., Charbonneau, E., Ouellet, D.R., Pellerin, D.",57205184170;7005470530;56117671100;57206523186;56283439800;,Economic and environmental effects of revised metabolizable protein and amino acid recommendations on Canadian dairy farms,2021,Journal of Dairy Science,104,9,,9981,9998,,1,10.3168/jds.2020-19893,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107387711&doi=10.3168%2fjds.2020-19893&partnerID=40&md5=c98807fed926a8104b008d747ed09f9c,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85107387711
,29,"Sharifi, M., Phillips, L., Zintel, S.",7006324706;19640706900;57225895584;,Surface-applied organic amendments modify soil biological activity down the soil profile of an irrigated vineyard,2021,Acta Horticulturae,1314,,,487,498,,,10.17660/ActaHortic.2021.1314.60,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109604041&doi=10.17660%2fActaHortic.2021.1314.60&partnerID=40&md5=0156663796b26448980c1bf1ac243855,Conference Paper,Final,,Scopus,2-s2.0-85109604041
,30,"Wang, H., Bi, X., Clift, R.",57214096936;57218274528;7101769541;,"A case study on integrating anaerobic digestion into agricultural activities in British Columbia: Environmental, economic and policy analysis",2021,Environmental Pollution,271,,116279,,,,8,10.1016/j.envpol.2020.116279,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098538756&doi=10.1016%2fj.envpol.2020.116279&partnerID=40&md5=2be3e95eaad31e893fe7ba2671688194,Article,Final,,Scopus,2-s2.0-85098538756
,31,"Ashiq, W., Nadeem, M., Ali, W., Zaeem, M., Wu, J., Galagedara, L., Thomas, R., Kavanagh, V., Cheema, M.",57207911938;57225462768;57205513026;57207912088;55806856100;56458695400;9245574000;36486684700;13204812100;,Biochar amendment mitigates greenhouse gases emission and global warming potential in dairy manure based silage corn in boreal climate,2020,Environmental Pollution,265,,114869,,,,23,10.1016/j.envpol.2020.114869,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085599952&doi=10.1016%2fj.envpol.2020.114869&partnerID=40&md5=bad0697ad701f97b521f9fdcba7d8390,Article,Final,,Scopus,2-s2.0-85085599952
,32,"Abbasi, N.A., Madramootoo, C.A., Zhang, T., Tan, C.S.",56373330700;7005854414;7404373735;7402818349;,Nitrous oxide emissions as affected by fertilizer and water table management under a corn-soybean rotation,2020,Geoderma,375,,114473,,,,9,10.1016/j.geoderma.2020.114473,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085738285&doi=10.1016%2fj.geoderma.2020.114473&partnerID=40&md5=3123749e440db022ae38eac792fbbc39,Article,Final,,Scopus,2-s2.0-85085738285
,33,"Benchaar, C., Hassanat, F.",6602579949;8310982300;,"Frequency of diet delivery to dairy cows: Effect on nutrient digestion, rumen fermentation, methane production, nitrogen utilization, and milk production",2020,Journal of Dairy Science,103,8,,7094,7109,,6,10.3168/jds.2020-18199,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086363876&doi=10.3168%2fjds.2020-18199&partnerID=40&md5=f07dc6612c8468d3b2bbd69d23c1eb04,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85086363876
,34,"Cluett, J., Vanderzaag, A.C., Baldé, H., McGinn, S., Jenson, E., Hayes, A.C., Ekwe, S.",57216754593;25723924700;55542124400;7003958724;57132808600;36016494800;57216748882;,Effects of two manure additives on methane emissions from dairy manure,2020,Animals,10,5,807,,,,5,10.3390/ani10050807,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084477670&doi=10.3390%2fani10050807&partnerID=40&md5=238b0913b3d4a963c228aab0e9aae598,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85084477670
,35,"Johannesson, G.H., Crolla, A., Lauzon, J.D., Gilroyed, B.H.",57195057814;8657914400;7004276343;24490771900;,"Estimation of biogas co-production potential from liquid dairy manure, dissolved air flotation waste (DAF) and dry poultry manure using biochemical methane potential (BMP) assay",2020,Biocatalysis and Agricultural Biotechnology,25,,101605,,,,7,10.1016/j.bcab.2020.101605,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083851367&doi=10.1016%2fj.bcab.2020.101605&partnerID=40&md5=a63423a177476305d29efd0e09e90a84,Article,Final,,Scopus,2-s2.0-85083851367
,36,"Grant, R.F., Lin, S., Hernandez-Ramirez, G.",7402006329;57200273603;26030319400;,Modelling nitrification inhibitor effects on N2O emissions after fall-and spring-Applied slurry by reducing nitrifier NH4+ oxidation rate,2020,Biogeosciences,17,7,,2021,2039,,26,10.5194/bg-17-2021-2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083831935&doi=10.5194%2fbg-17-2021-2020&partnerID=40&md5=fc8dfe13ea5ded58cee49b5e8efb98f3,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85083831935
,37,"Flores-Orozco, D., Patidar, R., Levin, D.B., Sparling, R., Kumar, A., Çiçek, N.",57213172628;57190427278;24565886400;6701751868;8602136200;6602743322;,Effect of ceftiofur on mesophilic anaerobic digestion of dairy manure and the reduction of the cephalosporin-resistance gene cmy-2,2020,Bioresource Technology,301,,122729,,,,16,10.1016/j.biortech.2019.122729,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077647755&doi=10.1016%2fj.biortech.2019.122729&partnerID=40&md5=e1b7bb548a093ad04c1ddc2433e000be,Article,Final,,Scopus,2-s2.0-85077647755
,38,"Le Riche, E.L., VanderZaag, A.C., Wood, J.D., Wagner-Riddle, C., Dunfield, K., McCabe, J., Gordon, R.",57192435812;25723924700;55705249800;6701603287;6505851121;57192439409;56653882200;,Does overwintering change the inoculum effect on methane emissions from stored liquid manure?,2020,Journal of Environmental Quality,49,2,,247,255,,1,10.1002/jeq2.20003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081686954&doi=10.1002%2fjeq2.20003&partnerID=40&md5=25f77d3b81dc30932a56b2617f2df0db,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85081686954
,39,"Debruyn, Z., VanderZaag, A., Wagner-Riddle, C.",57215560381;25723924700;6701603287;,Increased dairy farm methane concentrations linked to anaerobic digester in a five-year study,2020,Journal of Environmental Quality,49,2,,509,515,,2,10.1002/jeq2.20052,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081562283&doi=10.1002%2fjeq2.20052&partnerID=40&md5=e0b7aa7643b624c716c88d7af93c7f7f,Article,Final,,Scopus,2-s2.0-85081562283
,40,"Wu, Q., Kwak, J.-H., Chang, S.X., Han, G., Gong, X.",57204352533;35198445700;7405608250;27172263600;55437493500;,Cattle urine and dung additions differently affect nitrification pathways and greenhouse gas emission in a grassland soil,2020,Biology and Fertility of Soils,56,2,,235,247,,9,10.1007/s00374-019-01415-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076088917&doi=10.1007%2fs00374-019-01415-1&partnerID=40&md5=5797b8ad20bde74763b938f1793b0603,Article,Final,,Scopus,2-s2.0-85076088917
,41,"Weber, T.L., Romero, C.M., Mackenzie, M.D.",57477202700;56556015900;7103046051;,Biochar–manure changes soil carbon mineralization in a Gray Luvisol used for agricultural production,2020,Canadian Journal of Soil Science,102,1,,225,229,,5,10.1139/cjss-2020-0157,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121785228&doi=10.1139%2fcjss-2020-0157&partnerID=40&md5=dfbd6400af483a2c340416a0d7ed0c27,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85121785228
,42,"Sokolov, V., VanderZaag, A., Habtewold, J., Dunfield, K., Tambong, J.T., Wagner-Riddle, C., Venkiteswaran, J.J., Gordon, R.",57195545151;25723924700;57201269740;6505851121;6506887722;6701603287;6507911199;56653882200;,Acidification of Residual Manure in Liquid Dairy Manure Storages and Its Effect on Greenhouse Gas Emissions,2020,Frontiers in Sustainable Food Systems,4,,568648,,,,4,10.3389/fsufs.2020.568648,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093983472&doi=10.3389%2ffsufs.2020.568648&partnerID=40&md5=9fb3849f8b88d29533443b9fce900f7b,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85093983472
